book,open_date,pnl,DoW,Intraday_Move_OpenToEntry_11,Intraday_Move_OpenToEntry_1515,L1_SPX_ATR_Pct,L1_SPX_Drawdown_Pct,L1_TS,L1_VIX_Close,L1_VIX_pct,L1_rv20,L1_rv5,L1_vvix_above_ema20,L1_vvix_above_ema30,L1_vvix_close,L1_vvix_ema20,L1_vvix_ema30,L1_vvix_pct,VIX_Entry_11,VIX_Entry_1515,closing_vix,gap,movement,opening_vix,t0_VIX_change_from_close_11,t0_VIX_change_from_close_15
CALLS_1DTE_1515,2024-01-22,-535.0,nan,-2.42,-0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.58,13.27,nan,13.61,-0.27,nan,nan,nan
CALLS_1DTE_1515,2024-01-23,85.0,nan,-8.93,7.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.02,12.7,nan,6.37,7.04,nan,nan,nan
CALLS_1DTE_1515,2024-01-24,-530.0,nan,6.56,-13.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.52,13.01,nan,23.96,-13.86,nan,nan,nan
CALLS_1DTE_1515,2024-01-25,-550.0,nan,0.57,-7.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.34,13.39,nan,18.11,-7.43,nan,nan,nan
CALLS_1DTE_1515,2024-01-26,-550.0,nan,17.09,5.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.4,13.23,nan,-5.25,5.88,nan,nan,nan
CALLS_1DTE_1515,2024-01-29,-527.0,nan,-4.03,23.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.93,13.7,nan,1.98,23.34,nan,nan,nan
CALLS_1DTE_1515,2024-01-30,480.0,nan,-4.06,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.56,13.36,nan,-2.04,0.38,nan,nan,nan
CALLS_1DTE_1515,2024-01-31,-535.0,nan,-16.84,-35.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.26,14.19,nan,-25.78,-35.73,nan,nan,nan
CALLS_1DTE_1515,2024-02-01,-515.0,nan,-5.43,39.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.47,14.02,nan,15.46,39.47,nan,nan,nan
CALLS_1DTE_1515,2024-02-02,480.0,nan,21.12,55.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.78,13.96,nan,9.87,55.39,nan,nan,nan
CALLS_1DTE_1515,2024-02-05,-513.0,nan,-33.31,-14.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.41,13.78,nan,-1.42,-14.33,nan,nan,nan
CALLS_1DTE_1515,2024-02-06,-570.0,nan,-7.63,-1.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.59,13.31,nan,7.35,-1.9,nan,nan,nan
CALLS_1DTE_1515,2024-02-07,420.0,nan,14.12,24.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.02,12.9,nan,18.82,24.2,nan,nan,nan
CALLS_1DTE_1515,2024-02-08,-530.0,nan,0.56,2.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.93,12.87,nan,0.1,2.09,nan,nan,nan
CALLS_1DTE_1515,2024-02-09,450.0,nan,9.58,20.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.83,12.85,nan,6.26,20.82,nan,nan,nan
CALLS_1DTE_1515,2024-02-12,445.0,nan,7.95,-2.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.5,13.8,nan,0.22,-2.91,nan,nan,nan
CALLS_1DTE_1515,2024-02-13,-540.0,nan,-9.15,-43.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.89,17.21,nan,-53.9,-43.44,nan,nan,nan
CALLS_1DTE_1515,2024-02-14,-520.0,nan,-4.87,8.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.75,14.53,nan,23.27,8.04,nan,nan,nan
CALLS_1DTE_1515,2024-02-15,445.0,nan,6.13,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.38,14.3,nan,2.52,26.0,nan,nan,nan
CALLS_1DTE_1515,2024-02-16,460.0,nan,-11.08,-18.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.98,14.18,nan,1.4,-18.21,nan,nan,nan
CALLS_1DTE_1515,2024-02-20,-210.0,nan,-9.41,-14.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.42,15.27,nan,-16.25,-14.32,nan,nan,nan
CALLS_1DTE_1515,2024-02-21,-545.0,nan,-0.06,-12.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.66,15.78,nan,-12.48,-12.2,nan,nan,nan
CALLS_1DTE_1515,2024-02-22,75.0,nan,18.89,46.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.24,14.43,nan,57.03,46.51,nan,nan,nan
CALLS_1DTE_1515,2024-02-23,435.0,nan,-3.94,-12.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.02,13.69,nan,13.89,-12.5,nan,nan,nan
CALLS_1DTE_1515,2024-02-26,470.0,nan,-8.12,-12.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.93,13.71,nan,4.2,-12.05,nan,nan,nan
CALLS_1DTE_1515,2024-02-27,440.0,nan,-3.56,0.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.44,13.49,nan,5.07,0.86,nan,nan,nan
CALLS_1DTE_1515,2024-02-28,-510.0,nan,6.56,-1.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.48,13.71,nan,-10.98,-1.71,nan,nan,nan
CALLS_1DTE_1515,2024-02-29,-525.0,nan,-2.97,-0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.46,13.39,nan,15.6,-0.18,nan,nan,nan
CALLS_1DTE_1515,2024-03-01,440.0,nan,16.2,35.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.26,13.31,nan,2.24,35.68,nan,nan,nan
CALLS_1DTE_1515,2024-03-04,430.0,nan,3.51,18.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.46,13.37,nan,-6.09,18.16,nan,nan,nan
CALLS_1DTE_1515,2024-03-05,-540.0,nan,-21.83,-50.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.23,14.89,nan,-20.94,-50.27,nan,nan,nan
CALLS_1DTE_1515,2024-03-06,-510.0,nan,3.9,-12.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.14,14.65,nan,28.79,-12.97,nan,nan,nan
CALLS_1DTE_1515,2024-03-07,470.0,nan,18.09,22.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.38,14.37,nan,27.62,22.65,nan,nan,nan
CALLS_1DTE_1515,2024-03-08,500.0,nan,17.58,-27.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.12,14.78,nan,7.1,-27.92,nan,nan,nan
CALLS_1DTE_1515,2024-03-11,-535.0,nan,1.13,5.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.72,15.19,nan,-11.73,5.13,nan,nan,nan
CALLS_1DTE_1515,2024-03-12,480.0,nan,31.41,41.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.09,13.88,nan,16.36,41.01,nan,nan,nan
CALLS_1DTE_1515,2024-03-13,480.0,nan,-4.42,-4.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.95,13.75,nan,-1.78,-4.32,nan,nan,nan
CALLS_1DTE_1515,2024-03-14,490.0,nan,-23.84,-45.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.34,14.78,nan,9.83,-45.12,nan,nan,nan
CALLS_1DTE_1515,2024-03-15,-550.0,nan,8.11,-1.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.56,14.58,nan,-27.17,-1.46,nan,nan,nan
CALLS_1DTE_1515,2024-03-18,-510.0,nan,17.71,5.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.33,14.28,nan,37.68,5.94,nan,nan,nan
