book,open_date,pnl,prediction,fold,keep
CALLS_0DTE_11,2023-01-25,-2375.0,-3805.9126902372673,1,False
CALLS_0DTE_11,2023-01-26,-2335.0,-5473.224847564136,1,False
CALLS_0DTE_11,2023-01-27,-351.0,-3514.498562036855,1,False
CALLS_0DTE_11,2023-01-30,-410.0,-4731.294870549575,1,False
CALLS_0DTE_11,2023-01-31,-1825.0,-983.5457682300876,1,False
CALLS_0DTE_11,2023-02-01,-3376.0,-3475.6525982112835,1,False
CALLS_0DTE_11,2023-02-02,685.0,-4460.331602405579,1,False
CALLS_0DTE_11,2023-02-03,660.0,-2729.0813438181353,1,False
CALLS_0DTE_11,2023-02-06,-5355.0,-3761.283280367439,1,False
CALLS_0DTE_11,2023-02-07,-3875.0,-3511.4497759896676,1,False
CALLS_0DTE_11,2023-02-08,630.0,-3205.3507409179106,1,False
CALLS_0DTE_11,2023-02-09,630.0,-5406.9065024664615,1,False
CALLS_0DTE_11,2023-02-10,224.0,-1032.1625873515472,1,False
CALLS_0DTE_11,2023-02-13,-5505.0,-4416.176679486026,1,False
CALLS_0DTE_11,2023-02-14,-328.0,-1935.2983885229507,1,False
CALLS_0DTE_11,2023-02-15,-2055.0,-3654.533107326018,1,False
CALLS_0DTE_11,2023-02-16,570.0,-2809.1313065793825,1,False
CALLS_0DTE_11,2023-02-17,-674.0,-2217.6760132540826,1,False
CALLS_0DTE_11,2023-02-21,595.0,-3098.2057661806616,1,False
CALLS_0DTE_11,2023-02-22,825.0,-1251.1290105683133,1,False
CALLS_0DTE_11,2023-02-23,-77.0,-5568.42571160564,1,False
CALLS_0DTE_11,2023-02-24,-794.0,-2110.531038516833,1,False
CALLS_0DTE_11,2023-02-27,-4540.0,-5316.881483703576,1,False
CALLS_0DTE_11,2023-02-28,580.0,-1217.0659098135577,1,False
CALLS_0DTE_11,2023-03-01,580.0,-1234.7290472952536,1,False
CALLS_0DTE_11,2023-03-02,-1965.0,-3423.126417777998,1,False
CALLS_0DTE_11,2023-03-03,-1820.0,-6846.192308027464,1,False
CALLS_0DTE_11,2023-03-06,-5050.0,-5433.903711686803,1,False
CALLS_0DTE_11,2023-03-07,785.0,-3172.845783297128,1,False
CALLS_0DTE_11,2023-03-08,545.0,-1234.7290472952536,1,False
CALLS_0DTE_11,2023-03-09,465.0,-4641.000804125054,1,False
CALLS_0DTE_11,2023-03-10,880.0,-31.46299831432994,1,False
CALLS_0DTE_11,2023-03-13,92.0,-5192.8438854047345,1,False
CALLS_0DTE_11,2023-03-14,755.0,-2943.5760860096357,1,False
CALLS_0DTE_11,2023-03-15,-803.0,-1531.360810596224,1,False
CALLS_0DTE_11,2023-03-16,-2640.0,-3418.917753328779,1,False
CALLS_0DTE_11,2023-03-17,805.0,-999.5681441340778,1,False
CALLS_0DTE_11,2023-03-20,3593.0,563.5961010518848,1,False
CALLS_0DTE_11,2023-03-21,-1197.0,-2793.317628937471,1,False
CALLS_0DTE_11,2023-03-22,1630.0,-1110.8519454156133,1,False
CALLS_0DTE_11,2023-03-23,720.0,-4482.664959085561,1,False
CALLS_0DTE_11,2023-03-24,-2119.0,-164.20657317146615,1,False
CALLS_0DTE_11,2023-03-27,6227.0,-4511.361444163416,1,False
CALLS_0DTE_11,2023-03-28,468.0,-2002.592784530126,1,False
CALLS_0DTE_11,2023-03-29,-1276.0,-4506.78938758274,1,False
CALLS_0DTE_11,2023-03-30,495.0,-4600.320565785896,1,False
CALLS_0DTE_11,2023-03-31,-1505.0,-6807.140509912478,1,False
CALLS_0DTE_11,2023-04-03,-2618.0,-1126.024500940187,1,False
CALLS_0DTE_11,2023-04-04,575.0,-3172.845783297128,1,False
CALLS_0DTE_11,2023-04-05,-535.0,-2202.834193114996,1,False
CALLS_0DTE_11,2023-04-06,-1445.0,-1971.0955663013344,1,False
CALLS_0DTE_11,2023-04-10,-1816.0,-2836.428444208683,1,False
CALLS_0DTE_11,2023-04-11,530.0,-1938.590608680552,1,False
CALLS_0DTE_11,2023-04-12,720.0,-5564.399913859481,1,False
CALLS_0DTE_11,2023-04-13,-1520.0,-6895.568563311066,1,False
CALLS_0DTE_11,2023-04-14,540.0,-2045.3407817219743,1,False
CALLS_0DTE_11,2023-04-17,-3510.0,-1209.5729811229444,1,False
CALLS_0DTE_11,2023-04-18,-2.0,-5590.759068285622,1,False
CALLS_0DTE_11,2023-04-19,-12.0,-2715.600128376231,1,False
CALLS_0DTE_11,2023-04-20,385.0,-2826.7944440610786,1,False
CALLS_0DTE_11,2023-04-21,-372.0,-2002.592784530126,1,False
CALLS_0DTE_11,2023-04-24,-4155.0,-1209.5729811229444,1,False
CALLS_0DTE_11,2023-04-25,420.0,-3205.3507409179106,1,False
CALLS_0DTE_11,2023-04-26,430.0,-5364.15850527461,1,False
CALLS_0DTE_11,2023-04-27,-610.0,-6846.192308027464,1,False
CALLS_0DTE_11,2023-04-28,-1383.0,-1071.9738216286753,1,False
CALLS_0DTE_11,2023-05-01,-3795.0,-1165.504999831828,1,False
CALLS_0DTE_11,2023-05-02,-393.0,-3172.845783297128,1,False
CALLS_0DTE_11,2023-05-03,1105.0,-2045.3407817219743,1,False
CALLS_0DTE_11,2023-05-04,740.0,-3199.2049377232684,1,False
CALLS_0DTE_11,2023-05-05,-540.0,-6757.764254628875,1,False
CALLS_0DTE_11,2023-05-08,2175.0,-1209.5729811229444,1,False
CALLS_0DTE_11,2023-05-09,375.0,-1249.5708674343402,1,False
CALLS_0DTE_11,2023-05-10,-684.0,-5590.759068285622,1,False
CALLS_0DTE_11,2023-05-11,-535.0,-1984.92964704843,1,False
CALLS_0DTE_11,2023-05-12,415.0,-5408.864541359927,1,False
CALLS_0DTE_11,2023-05-15,-2232.0,-1128.1067881910806,1,False
CALLS_0DTE_11,2023-05-16,505.0,-2027.6776442402784,1,False
CALLS_0DTE_11,2023-05-17,-590.0,-6897.753218009192,1,False
CALLS_0DTE_11,2023-05-18,-910.0,-983.5457682300876,1,False
CALLS_0DTE_11,2023-05-19,550.0,-4543.482856671556,1,False
